school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
緑風冠高校,44,府立,共学,普通,大東市,osaka,大阪府
阿武野高校,43,府立,共学,普通,高槻市,osaka,大阪府
茨木工科高校,42,府立,共学,工学系(大学進学専科),茨木市,osaka,大阪府
守口東高校,42,府立,共学,普通,守口市,osaka,大阪府
吹田高校,42,府立,共学,普通,吹田市,osaka,大阪府
成城高校,42,府立,共学,総合,大阪市城東区,osaka,大阪府
中央高校,42,府立,共学,ビジネス,大阪市中央区,osaka,大阪府
中央高校,42,府立,共学,普通,大阪市中央区,osaka,大阪府
北摂つばさ高校,42,府立,共学,普通,茨木市,osaka,大阪府
りんくう翔南高校,41,府立,共学,普通,泉南市,osaka,大阪府
茨木工科高校,41,府立,共学,環境化学システム系,茨木市,osaka,大阪府
茨木工科高校,41,府立,共学,機械系,茨木市,osaka,大阪府
茨木工科高校,41,府立,共学,電気系,茨木市,osaka,大阪府
佐野工科高校,41,府立,共学,工業,泉佐野市,osaka,大阪府
堺上高校,41,府立,共学,普通,堺市西区,osaka,大阪府
成美高校,41,府立,共学,総合,堺市南区,osaka,大阪府
西寝屋川高校,41,府立,共学,普通,寝屋川市,osaka,大阪府
鶴見商業高校,41,府立,共学,商業,大阪市鶴見区,osaka,大阪府
東住吉総合高校,41,府立,共学,総合,大阪市平野区,osaka,大阪府
枚岡樟風高校,41,府立,共学,総合,東大阪市,osaka,大阪府
箕面東高校,41,府立,共学,総合,箕面市,osaka,大阪府
園芸高校,40,府立,共学,バイオサイエンス,池田市,osaka,大阪府
園芸高校,40,府立,共学,フラワーファクトリ,池田市,osaka,大阪府
園芸高校,40,府立,共学,環境緑化,池田市,osaka,大阪府
堺工科高校,40,府立,共学,工業,堺市堺区,osaka,大阪府
城東工科高校,40,府立,共学,工業,東大阪市,osaka,大阪府
桃谷高校,40,府立,共学,普通,大阪市生野区,osaka,大阪府
藤井寺工科高校,40,府立,共学,工業,藤井寺市,osaka,大阪府
伯太高校,40,府立,共学,総合,和泉市,osaka,大阪府
美原高校,40,府立,共学,普通,堺市美原区,osaka,大阪府
布施工科高校,40,府立,共学,工業,東大阪市,osaka,大阪府
かわち野高校,39,府立,共学,普通,東大阪市,osaka,大阪府
信太高校,39,府立,共学,普通,和泉市,osaka,大阪府
西野田工科高校,39,府立,共学,工業,大阪市福島区,osaka,大阪府
福泉高校,39,府立,共学,普通,堺市西区,osaka,大阪府
長吉高校,38,府立,共学,総合,大阪市平野区,osaka,大阪府
東淀工業高校,38,府立,共学,電気工学,大阪市淀川区,osaka,大阪府
布施北高校,38,府立,共学,総合,東大阪市,osaka,大阪府
平野高校,38,府立,共学,普通,大阪市平野区,osaka,大阪府
岬高校,38,府立,共学,総合,泉南郡岬町,osaka,大阪府
門真西高校,38,府立,共学,普通,門真市,osaka,大阪府
淀川清流高校,38,府立,共学,総合,大阪市東淀川区,osaka,大阪府
和泉総合高校,38,府立,共学,総合,和泉市,osaka,大阪府
西成高校,37,府立,共学,普通,大阪市西成区,osaka,大阪府
大正白稜高校,37,府立,共学,総合,大阪市大正区,osaka,大阪府
東淀工業高校,37,府立,共学,機械工学,大阪市淀川区,osaka,大阪府
野崎高校,37,府立,共学,普通,大東市,osaka,大阪府
東淀工業高校,36,府立,共学,理工学,大阪市淀川区,osaka,大阪府
池田北高校,40,府立,共学,普通,池田市,osaka,大阪府
島本高校,40,府立,共学,普通,三島郡島本町,osaka,大阪府
長野北高校,39,府立,共学,普通,河内長野市,osaka,大阪府
咲洲高校,38,府立,共学,普通,大阪市住之江区,osaka,大阪府
泉鳥取高校,38,府立,共学,普通,阪南市,osaka,大阪府
大正高校,38,府立,共学,普通,大阪市大正区,osaka,大阪府
