area_code,daynight_ratio,area_name
19442,101.65289,小菅村
19443,97.86856,丹波山村
20201,103.64011,長野市
20202,106.55177,松本市
20203,102.10487,上田市
20204,98.57764,岡谷市
20205,104.46934,飯田市
20206,107.24372,諏訪市
20207,97.40365,須坂市
20208,95.99172,小諸市
20209,100.14648,伊那市
20210,104.02943,駒ヶ根市
20211,98.51511,中野市
20212,99.96077,大町市
20213,100.35451,飯山市
20214,97.44599,茅野市
20215,98.52983,塩尻市
20217,99.36398,佐久市
20218,92.55033,千曲市
20219,96.18029,東御市
20220,92.61141,安曇野市
20303,103.81922,小海町
20304,101.28066,川上村
20305,108.4507,南牧村
20306,83.38308,南相木村
20307,84.62532,北相木村
20309,81.53942,佐久穂町
20321,120.64336,軽井沢町
20323,91.22761,御代田町
20324,91.76875,立科町
20349,81.92494,青木村
20350,87.64191,長和町
20361,94.63827,下諏訪町
20362,107.38287,富士見町
20363,85.39519,原村
20382,95.60951,辰野町
20383,97.61103,箕輪町
20384,91.9937,飯島町
20385,92.95625,南箕輪村
20386,81.21649,中川村
20388,95.96418,宮田村
20402,94.97228,松川町
20403,89.05199,高森町
20404,100.52398,阿南町
20407,101.00948,阿智村
20409,96.28099,平谷村
20410,95.36082,根羽村
20411,86.18541,下條村
20412,98.78261,売木村
20413,97.21612,天龍村
20414,83.90129,泰阜村
20415,84.0729,喬木村
20416,84.2233,豊丘村
20417,105.8651,大鹿村
20422,97.73019,上松町
20423,98.35381,南木曽町
20425,82.87765,木祖村
20429,96.78188,王滝村
20430,97.2549,大桑村
20432,105.24269,木曽町
20446,86.72884,麻績村
20448,82.85404,生坂村
20450,83.87135,山形村
20451,83.63962,朝日村
20452,77.9704,筑北村
20481,91.96051,池田町
20482,77.53317,松川村
20485,99.76481,白馬村
20486,98.2438,小谷村
20521,105.18459,坂城町
20541,84.13381,小布施町
20543,80.33556,高山村
20561,87.44066,山ノ内町
20562,86.51782,木島平村
20563,89.53722,野沢温泉村
20583,92.95076,信濃町
20588,83.22702,小川村
20590,79.42692,飯綱町
20602,98.56631,栄村
21201,103.37001,岐阜市
21202,103.43635,大垣市
21203,101.29623,高山市
21204,88.68898,多治見市
21205,101.47499,関市
21206,98.63595,中津川市
21207,101.85934,美濃市
21208,92.12755,瑞浪市
21209,85.67801,羽島市
21210,97.02583,恵那市
21211,98.73249,美濃加茂市
21212,94.1325,土岐市
21213,93.46534,各務原市
21214,93.03409,可児市
21215,86.76698,山県市
21216,82.47967,瑞穂市
21217,95.90622,飛騨市
21218,96.00529,本巣市
21219,98.25612,郡上市
21220,99.63972,下呂市
21221,87.5703,海津市
21302,97.7053,岐南町
21303,92.4044,笠松町
21341,87.55038,養老町
21361,88.23124,垂井町
21362,97.16943,関ケ原町
21381,85.98174,神戸町
21382,95.2973,輪之内町
21383,88.70662,安八町
21401,97.28875,揖斐川町
21403,79.48663,大野町
21404,86.13792,池田町
21421,79.66867,北方町
21501,96.25701,坂祝町
21502,95.09346,富加町
21503,83.36766,川辺町
21504,82.09494,七宗町
21505,93.01714,八百津町
21506,93.2674,白川町
21507,92.03892,東白川村
21521,92.72818,御嵩町
21604,102.98322,白川村
22100,102.99962,静岡市
22101,109.80942,静岡市葵区
22102,100.42557,静岡市駿河区
22103,98.06132,静岡市清水区
22130,99.33068,浜松市
22131,106.82943,浜松市中区
22132,98.78962,浜松市東区
22133,90.29124,浜松市西区
22134,97.34113,浜松市南区
22135,102.86426,浜松市北区
22136,91.95412,浜松市浜北区
22137,95.14063,浜松市天竜区
22203,107.02591,沼津市
22205,106.15012,熱海市
22206,96.98126,三島市
22207,95.39803,富士宮市
22208,96.46938,伊東市
22209,93.16699,島田市
22210,99.25161,富士市
22211,102.95377,磐田市
22212,93.8442,焼津市
22213,101.11778,掛川市
22214,91.57272,藤枝市
22215,98.65687,御殿場市
22216,98.04404,袋井市
22219,104.44667,下田市
22220,106.08681,裾野市
