school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
静内農業高校,41,道立,共学,食品科学,日高郡新ひだか町,hokkaido,北海道,,
静内農業高校,41,道立,共学,生産科学,日高郡新ひだか町,hokkaido,北海道,,
千歳北陽高校,41,道立,共学,普通,千歳市,hokkaido,北海道,01224,103.6488
帯広農業高校,41,道立,共学,食品科学,帯広市,hokkaido,北海道,01207,103.91373
帯広農業高校,41,道立,共学,森林科学,帯広市,hokkaido,北海道,01207,103.91373
帯広農業高校,41,道立,共学,農業科学,帯広市,hokkaido,北海道,01207,103.91373
帯広農業高校,41,道立,共学,農業土木工学,帯広市,hokkaido,北海道,01207,103.91373
帯広農業高校,41,道立,共学,酪農科学,帯広市,hokkaido,北海道,01207,103.91373
美唄尚栄高校,41,道立,共学,総合,美唄市,hokkaido,北海道,01215,98.63686
美幌高校,41,道立,共学,普通,網走郡美幌町,hokkaido,北海道,,
富良野高校,41,道立,共学,普通,富良野市,hokkaido,北海道,01229,102.79037
富良野緑峰高校,41,道立,共学,園芸科学,富良野市,hokkaido,北海道,01229,102.79037
富良野緑峰高校,41,道立,共学,総合ビジネス,富良野市,hokkaido,北海道,01229,102.79037
富良野緑峰高校,41,道立,共学,電気システム,富良野市,hokkaido,北海道,01229,102.79037
余市紅志高校,41,道立,共学,総合,余市郡余市町,hokkaido,北海道,,
下川商業高校,40,道立,共学,商業,上川郡下川町,hokkaido,北海道,,
厚真高校,40,道立,共学,普通,勇払郡厚真町,hokkaido,北海道,,
更別農業高校,40,道立,共学,農業,河西郡更別村,hokkaido,北海道,,
札幌東豊高校,40,道立,共学,普通,札幌市東区,hokkaido,北海道,01103,94.61155
札幌白陵高校,40,道立,共学,普通,札幌市白石区,hokkaido,北海道,01104,98.57814
寿都高校,40,道立,共学,普通,寿都郡寿都町,hokkaido,北海道,,
上磯高校,40,道立,共学,普通,北斗市,hokkaido,北海道,01236,90.28454
上士幌高校,40,道立,共学,普通,河東郡上士幌町,hokkaido,北海道,,
深川東高校,40,道立,共学,総合ビジネス,深川市,hokkaido,北海道,01228,101.2415
長万部高校,40,道立,共学,普通,山越郡長万部町,hokkaido,北海道,,
津別高校,40,道立,共学,普通,網走郡津別町,hokkaido,北海道,,
当別高校,40,道立,共学,家政,石狩郡当別町,hokkaido,北海道,,
当別高校,40,道立,共学,普通,石狩郡当別町,hokkaido,北海道,,
南茅部高校,40,道立,共学,普通,函館市,hokkaido,北海道,01202,102.79308
美幌高校,40,道立,共学,未来農業,網走郡美幌町,hokkaido,北海道,,
穂別高校,40,道立,共学,普通,勇払郡むかわ町,hokkaido,北海道,,
北見工業高校,40,道立,共学,建設,北見市,hokkaido,北海道,01208,99.87956
北見工業高校,40,道立,共学,電気,北見市,hokkaido,北海道,01208,99.87956
北見工業高校,40,道立,共学,電子機械,北見市,hokkaido,北海道,01208,99.87956
幕別清陵高校,40,道立,共学,普通,中川郡幕別町,hokkaido,北海道,,
名寄高校,40,道立,共学,情報技術,名寄市,hokkaido,北海道,01221,100.54048
紋別高校,40,道立,共学,総合ビジネス,紋別市,hokkaido,北海道,01219,99.93942
野幌高校,40,道立,共学,普通,江別市,hokkaido,北海道,01217,89.56779
雄武高校,40,道立,共学,普通,紋別郡雄武町,hokkaido,北海道,,
蘭越高校,40,道立,共学,普通,磯谷郡蘭越町,hokkaido,北海道,,
虻田高校,39,道立,共学,事務情報,虻田郡洞爺湖町,hokkaido,北海道,,
遠別農業高校,39,道立,共学,生産科学,天塩郡遠別町,hokkaido,北海道,,
訓子府高校,39,道立,共学,普通,常呂郡訓子府町,hokkaido,北海道,,
厚岸翔洋高校,39,道立,共学,海洋資源,厚岸郡厚岸町,hokkaido,北海道,,
新十津川農業高校,39,道立,共学,農業・生活,樺戸郡新十津川町,hokkaido,北海道,,
大空高校,39,道立,共学,総合,網走郡大空町,hokkaido,北海道,,
